,work_mode,employment_mode,role,prog_skills_in_role,code_for_job,IT_exp,prof_prog_exp,first_code,assigned_seniority,self_assessed_seniority,formal_edu,majors,formal_edu_importance,gender,age,monthly_salary,pro_languages,web_frameworks,other_tools,databases,platforms,fav_language,least_fav_language,fav_framework,least_fav_framework,tools,use_AI_tools,AI_replace_dev,layoffs_23_24,working_now,unemployed_duration,same_role,current_vs_prev_salary
199,onsite,Empleador local (Paraguay),"backend_dev, db_admin","sys_admin, educator",Yes,6_9 years,1_2 years,12_13 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,30_34 years,5M_7M,"Java, HTML/CSS, SQL, Oracle Forms",Spring,"Node.js, React Native","MySQL, PostgreSQL, Oracle",Microsoft Windows,SQL,Fox Pro,Spring,ASP.NET Core,GitHub,ChatGPT,no,no,,,,
200,onsite,Empleador local (Paraguay),dev_ops,devops_dataops,Yes,1_2 years,1_2 years,16_17 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,female,20_24 years,3.5M_5M,,,,PostgreSQL,GNU/Linux,Bash/Shell/PowerShell,Genexus,CodeIgniter,,"Confluence, Google Suite (Docs, Meet, etc), GitHub, Jira, Slack",ChatGPT,no,no,,,,
201,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,1_2 years,<10 years,Mid-senior,Mid-senior,high_school,computer_engineering,quite_important,male,20_24 years,5M_7M,"JavaScript, PHP, HTML/CSS, SQL, Bash/Shell/PowerShell","JQuery, Laravel",,"MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows, AWS",PHP,Python,Laravel,Angular,"Google Suite (Docs, Meet, etc), Microsoft Team, Slack, GitHub, Discord, Jira","Github Copilot, ChatGPT",no,no,,,,
202,Hibrído,Empleador local (Paraguay),dev_ops,devops_dataops,Yes,13_17 years,13_17 years,22_23 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,male,35_39 years,15M_18M,"SQL, Bash/Shell/PowerShell, Yammel",Spring,"Node.js, Ansible","PostgreSQL, Redis, IBM DB2","GNU/Linux, Docker, Kubernetes",Bash/Shell/PowerShell,,,,"Confluence, Jira, Microsoft Team, GitLab",ChatGPT,no,no,,,,
203,onsite,Empleador local (Paraguay),it_analyst,sys_admin,No,6_9 years,3_5 years,<10 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","systems_analysis, computer_engineering",very_important,male,30_34 years,9M_12M,"Python, Java, HTML/CSS, SQL","React.js, Angular.js, Django",,"MySQL, Microsoft SQL Server, SQLite","GNU/Linux, Microsoft Windows, WordPress",Python,PHP,React.js,Angular,"Microsoft Team, Microsoft Azure, Discord, Notion","Github Copilot, Notion AI, Google Bard, ChatGPT",no,no,,,,
204,Hibrído,Empleador local (Paraguay),"mobile_dev, community_lead",,Yes,1_2 years,1_2 years,16_17 years,Mid-senior,Mid-senior,high_school,"programming, systems_analysis, computer_engineering",somewhat_important,male,20_24 years,7M_9M,"JavaScript, Java, Kotlin, HTML/CSS, Swift, Dart",JQuery,Flutter,"SQLite, MongoDB","Microsoft Windows, MacOS, Android, iOS",Dart,JavaScript,,,"Jira, GitHub, Slack, Confluence, Trello, GitLab",ChatGPT,no,no,,,,
205,Hibrído,foreign_employer,data_analyst,devops_dataops,Yes,1_2 years,1_2 years,10_11 years,Mid-senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",none,somewhat_important,male,35_39 years,5M_7M,"Python, SQL, M",,,"MySQL, PostgreSQL","Microsoft Windows, Azure",Python,C#,Flask,,"Microsoft Team, Google Suite (Docs, Meet, etc)","ChatGPT, Bing AI","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
206,Hibrído,freelance,"full_stack_dev, data_eng",sys_admin,Yes,18_25 years,18_25 years,20_21 years,Senior,Mid-senior,high_school,"programming, systems_analysis, graphic_design",somewhat_important,male,40_44 years,7M_9M,"JavaScript, TypeScript, PHP, HTML/CSS, SQL, Bash/Shell/PowerShell, Assembly, Rust","ASP.NET, Express, ASP.NET Core, Vue.js","Node.js, TensorFlow, Unity 3D, Cordova, Unreal Engine","MySQL, MariaDB, PostgreSQL, MongoDB, Redis, Firebase, Cassandra, Elasticsearch","GNU/Linux, Docker, AWS, Azure, Android, Raspberry Pi, Kubernetes, Arduino",Rust,Java,Laravel,ASP.NET Core,"Microsoft Azure, GitHub, Google Suite (Docs, Meet, etc), Trello, GitLab, Notion, Slack","Google Bard, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",yes,yes,<3_months,yes,lower
207,onsite,Empleador local (Paraguay),backend_dev,,Yes,1_2 years,3_5 years,14_15 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,somewhat_important,male,20_24 years,3.5M_5M,"Java, C#, SQL, Bash/Shell/PowerShell, Fox Pro","ASP.NET, ASP.NET Core, Spring",".NET, NET Core",Oracle,"GNU/Linux, Microsoft Windows, Docker, Azure, Microsoft Azure, Kubernetes",C#,JavaScript,ASP.NET Core,Spring,"Microsoft Team, Microsoft Azure","ChatGPT, Github Copilot, Google Bard","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
208,Hibrído,Empleador local (Paraguay),backend_dev,,Yes,1_2 years,1_2 years,<10 years,Mid-senior,Mid-senior,high_school,"programming, computer_engineering",somewhat_important,male,20_24 years,3.5M_5M,"JavaScript, PHP, Python, HTML/CSS, SQL, Bash/Shell/PowerShell",Laravel,,MySQL,AWS,Python,,Django,,"GitLab, Notion, Discord","Google Bard, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
209,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev",sys_admin,Yes,3_5 years,3_5 years,18_19 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,35_39 years,7M_9M,"JavaScript, TypeScript, Java, HTML/CSS, SQL","Angular, JQuery, Spring",Node.js,PostgreSQL,"GNU/Linux, Docker",Java,JavaScript,Spring,React.js,"GitHub, GitLab",,no,no,,,,
210,onsite,Empleador local (Paraguay),data_analyst,sys_admin,No,1_2 years,<1 year,22_23 years,Junior,Mid-senior,high_school,"programming, systems_analysis, other",quite_important,female,20_24 years,2.55M_3.5M,"Python, SQL, R, VBA",,".NET, Pandas, Hadoop","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server",Microsoft Windows,SQL,,,,Microsoft Team,ChatGPT,yes,no,,,,
211,remote,Empleador local (Paraguay),full_stack_dev,,Yes,10_12 years,6_9 years,10_11 years,Staff,Mid-senior,high_school,"systems_analysis, computer_engineering, other",not_important,male,35_39 years,7M_9M,"JavaScript, TypeScript, Java, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, Spring",Node.js,"PostgreSQL, Firebase","GNU/Linux, AWS",TypeScript,Fox Pro,Laravel,CodeIgniter,"Discord, GitLab",ChatGPT,no,no,,,,
212,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,6_9 years,6_9 years,<10 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,male,25_29 years,12M_15M,"JavaScript, HTML/CSS, SQL, Oracle Forms, Oracle APEX",JQuery,Node.js,Oracle,"GNU/Linux, Microsoft Windows",Otro,Oracle Forms,JQuery,JQuery,"GitLab, Google Suite (Docs, Meet, etc), GitHub, Jira, Trello, Slack, Microsoft Team","ChatGPT, Github Copilot",no,no,,,,
213,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,3_5 years,3_5 years,<10 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,male,25_29 years,5M_7M,Oracle Forms,JQuery,,Oracle,Microsoft Windows,SQL,,JQuery,,,ChatGPT,no,no,,,,
214,onsite,Empleador local (Paraguay),"full_stack_dev, desktop_apps",sys_admin,Yes,10_12 years,10_12 years,14_15 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",quite_important,male,30_34 years,15M_18M,"JavaScript, Java, HTML/CSS, SQL, Oracle Forms, PLSQL",Spring,Node.js,Oracle,Microsoft Windows,Java,JavaScript,Spring,Angular.js,"GitHub, Trello","ChatGPT, Github Copilot",no,no,,,,
215,onsite,Empleador local (Paraguay),"full_stack_dev, db_admin",,Yes,1_2 years,1_2 years,14_15 years,Junior,Junior,high_school,systems_analysis,not_important,male,20_24 years,3.5M_5M,"JavaScript, HTML/CSS, SQL, PL/SQL",,,Oracle,"GNU/Linux, Microsoft Windows",JavaScript,Java,,,,,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
216,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,1_2 years,1_2 years,16_17 years,Junior,Mid-senior,high_school,systems_analysis,quite_important,male,20_24 years,2.55M_3.5M,"JavaScript, SQL",,Node.js,Oracle,Microsoft Windows,Python,,,,,,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
217,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,6_9 years,3_5 years,<10 years,Senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,male,25_29 years,7M_9M,"JavaScript, HTML/CSS, SQL, Oracle Forms, Oracle Apex",JQuery,,Oracle,Microsoft Windows,Oracle form,Assembly,JQuery,CodeIgniter,"GitHub, GitLab, Microsoft Team",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
218,onsite,Empleador local (Paraguay),"backend_dev, data_analyst",sys_admin,Yes,6_9 years,6_9 years,12_13 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,25_29 years,9M_12M,"Python, SQL, PSQL",,,"PostgreSQL, Oracle",Microsoft Windows,Otro,JavaScript,,,,ChatGPT,no,no,,,,
219,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,10_12 years,10_12 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, computer_engineering",quite_important,male,30_34 years,9M_12M,"JavaScript, PHP, Kotlin, HTML/CSS, SQL",Laravel,"Node.js, TensorFlow","MySQL, PostgreSQL, Oracle","GNU/Linux, Microsoft Windows, Docker",PHP,,,,GitHub,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
220,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, mobile_dev",sys_admin,Yes,10_12 years,6_9 years,10_11 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, computer_engineering",quite_important,male,35_39 years,15M_18M,"JavaScript, TypeScript, Kotlin, SQL, Dart, Oracle Forms",Express,"Node.js, Flutter","MySQL, MariaDB, SQLite, MongoDB, Oracle","Microsoft Windows, MacOS, Docker, Android, iOS, Heroku",Dart,JavaScript,Express,Angular,"GitHub, Microsoft Team","Github Copilot, ChatGPT, Google Bard",no,no,,,,
221,Hibrído,Empleador local (Paraguay),"backend_dev, frontend_dev, embedded_sys_dev, desktop_apps, db_admin, data_analyst","sys_admin, designer",Yes,3_5 years,3_5 years,<10 years,No aplica a mi lugar de trabajo,Principal,high_school,systems_analysis,very_important,male,20_24 years,2.55M_3.5M,"SQL, Oracle Forms",,,Oracle,Microsoft Windows,Oracle form,PHP,Django,CakePHP,,ChatGPT,no,no,,,,
222,onsite,Empleador local (Paraguay),full_stack_dev,devops_dataops,Yes,3_5 years,3_5 years,10_11 years,Senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,female,25_29 years,5M_7M,"JavaScript, Python, Oracle Forms, ORACLE APEX, ORACLE PLSQL",JQuery,,"MySQL, Oracle",GNU/Linux,JavaScript,Java,JQuery,React.js,,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
223,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, desktop_apps",,Yes,6_9 years,3_5 years,<10 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,female,25_29 years,3.5M_5M,"Python, HTML/CSS, SQL, Oracle Forms",,Node.js,"PostgreSQL, Oracle","GNU/Linux, Microsoft Windows",SQL,Assembly,Laravel,Ruby on Rails,GitHub,,no,no,,,,
224,remote,foreign_employer,"frontend_dev, mobile_dev, proj_lead",devops_dataops,Yes,10_12 years,6_9 years,12_13 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,30_34 years,33M_40M,"JavaScript, TypeScript, Ruby, HTML/CSS","React.js, Express, Ruby on Rails",Node.js,PostgreSQL,"MacOS, AWS, Android, iOS",JavaScript,Dart,React.js,JQuery,"Google Suite (Docs, Meet, etc), Notion, Discord, Slack, Trello, GitHub, Jira","Notion AI, Github Copilot, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
225,none,Empleador local (Paraguay),backend_dev,,No,<1 year,<1 year,10_11 years,No aplica a mi lugar de trabajo,Desconozco,high_school,computer_engineering,not_important,male,20_24 years,2.55M_3.5M,"Python, C++",,,"MySQL, PostgreSQL, MongoDB","GNU/Linux, Microsoft Windows",C++,Python,,,"Microsoft Team, GitHub, Discord","ChatGPT, Google Bard",no,no,,,,
226,onsite,Empleador local (Paraguay),"full_stack_dev, dev_ops",devops_dataops,Yes,6_9 years,6_9 years,12_13 years,Senior,Senior,high_school,systems_analysis,not_important,male,25_29 years,9M_12M,"JavaScript, Java, HTML/CSS, SQL","React.js, Angular, Angular.js, JQuery, Spring",,"MySQL, PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows, Docker",Java,Java,Spring,Laravel,"Jira, Microsoft Team, Discord, GitLab, Microsoft Azure",ChatGPT,no,no,,,,
227,Hibrído,Empleador local (Paraguay),tech_lead,,Yes,10_12 years,10_12 years,12_13 years,Staff,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,30_34 years,7M_9M,"JavaScript, Python, Java, HTML/CSS, SQL, Genexus, RPG",,,"MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, Oracle, IBM DB2",Microsoft Windows,SQL,COBOL,,,"GitLab, Jira, Microsoft Team",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
228,onsite,Empleador local (Paraguay),"desktop_apps, db_admin","sys_admin, educator",Yes,3_5 years,3_5 years,<10 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,30_34 years,3.5M_5M,Java,,,MySQL,Microsoft Windows,Java,VBA,,,"Google Suite (Docs, Meet, etc)",ChatGPT,no,yes,yes,<3_months,yes,almost_equal
229,onsite,local_with_foreign_clients,"db_admin, data_analyst",sys_admin,No,<1 year,<1 year,<10 years,Junior,Desconozco,high_school,"other ingenerías, other",very_important,female,20_24 years,3.5M_5M,"JavaScript, C++, HTML/CSS, SQL, R",,"Node.js, NET Core","MySQL, Microsoft SQL Server","GNU/Linux, Microsoft Windows, Android, iOS, Arduino",SQL,R,,,"Google Suite (Docs, Meet, etc), GitHub, Microsoft Team",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",yes,yes,<3_months,no,lower
230,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, ux_ui","sys_admin, devops_dataops, designer",Yes,1_2 years,1_2 years,16_17 years,Junior,Mid-senior,high_school,"programming, systems_analysis, computer_engineering",very_important,male,20_24 years,3.5M_5M,"JavaScript, TypeScript, Python, Java, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, JQuery, Express, Django","Node.js, React Native","PostgreSQL, Microsoft SQL Server, SQLite, MongoDB, Redis","GNU/Linux, Microsoft Windows, Raspberry Pi",TypeScript,Python,React.js,,"GitHub, Microsoft Team",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
231,remote,Empleador local (Paraguay),backend_dev,devops_dataops,Yes,6_9 years,3_5 years,<10 years,No aplica a mi lugar de trabajo,Mid-senior,high_school,"programming, systems_analysis, computer_engineering, other",very_important,female,30_34 years,3.5M_5M,"JavaScript, PHP, Java, SQL, Oracle Forms","JQuery, Spring",Node.js,"MySQL, PostgreSQL, MongoDB, Oracle",Microsoft Windows,Java,PHP,ASP.NET,ASP.NET,"Jira, GitHub, Google Suite (Docs, Meet, etc)",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
232,onsite,Empleador local (Paraguay),frontend_dev,sys_admin,No,6_9 years,1_2 years,<10 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,male,25_29 years,5M_7M,"JavaScript, Python, HTML/CSS","React.js, Django","Node.js, React Native",Microsoft SQL Server,"GNU/Linux, Microsoft Windows, MacOS, Azure, Raspberry Pi, iOS",JavaScript,Assembly,React.js,ASP.NET,"Jira, Microsoft Team, Discord, GitHub",ChatGPT,no,no,,,,
233,onsite,Empleador local (Paraguay),desktop_apps,,Yes,13_17 years,6_9 years,12_13 years,No aplica a mi lugar de trabajo,Senior,high_school,computer_engineering,very_important,male,35_39 years,7M_9M,"SQL, Oracle Forms",,,Oracle,"GNU/Linux, Microsoft Windows",SQL,Java,ASP.NET Core,JQuery,"Google Suite (Docs, Meet, etc)",,no,no,,,,
234,onsite,Empleador local (Paraguay),"desktop_apps, qa_testing, db_admin",sys_admin,Yes,10_12 years,10_12 years,10_11 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,female,35_39 years,9M_12M,"SQL, Oracle Forms, Vb .net",ASP.NET,.NET,Microsoft SQL Server,Microsoft Windows,SQL,,,,"Trello, Google Suite (Docs, Meet, etc), Microsoft Team, Jira",,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
235,onsite,Empleador local (Paraguay),desktop_apps,sys_admin,Yes,13_17 years,13_17 years,16_17 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,40_44 years,9M_12M,Oracle Forms,,,Oracle,Microsoft Windows,Oracle form,,Angular,,"Trello, Microsoft Team",Google Bard,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
236,remote,Empleador local (Paraguay),"backend_dev, frontend_dev",sys_admin,Yes,3_5 years,3_5 years,18_19 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, computer_engineering",very_important,male,30_34 years,3.5M_5M,"JavaScript, TypeScript, C#, VBA","Angular, Angular.js, ASP.NET, ASP.NET Core","Node.js, .NET, NET Core",Oracle,Microsoft Windows,PHP,Assembly,Angular,,"Microsoft Team, Jira",ChatGPT,no,no,,,,
237,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,1_2 years,1_2 years,<10 years,Junior,Mid-senior,high_school,"programming, systems_analysis",quite_important,male,20_24 years,3.5M_5M,"JavaScript, TypeScript, Java, HTML/CSS, SQL",JQuery,Node.js,"PostgreSQL, Microsoft SQL Server","GNU/Linux, Microsoft Windows, Docker",Java,Python,Spring,JQuery,"Microsoft Team, GitHub, Discord","Bing AI, Github Copilot, ChatGPT",no,no,,,,
238,remote,freelance,full_stack_dev,"sys_admin, scientific_researcher, designer",Yes,18_25 years,18_25 years,20_21 years,Senior,Senior,high_school,systems_analysis,very_important,male,40_44 years,7M_9M,"JavaScript, PHP, Java, HTML/CSS, SQL, Bash/Shell/PowerShell","JQuery, Express",Node.js,"MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows",JavaScript,Genexus,Express,CakePHP,"GitLab, GitHub",Notion AI,no,no,,,,
239,onsite,Empleador local (Paraguay),data_analyst,sys_admin,Yes,3_5 years,3_5 years,<10 years,Senior,Senior,high_school,systems_analysis,somewhat_important,male,25_29 years,7M_9M,"Python, SQL",,,Oracle,Microsoft Windows,SQL,Java,,,Microsoft Team,,no,no,,,,
240,Hibrído,Empleador local (Paraguay),"full_stack_dev, embedded_sys_dev, desktop_apps, proj_lead, data_analyst, ux_ui, dba","sys_admin, devops_dataops",Yes,18_25 years,18_25 years,30+ years,No aplica a mi lugar de trabajo,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis, mathematics",very_important,male,40_44 years,40M_50M,"JavaScript, PHP, Python, Java, HTML/CSS, SQL, Bash/Shell/PowerShell, Dart, VBA, Oracle Forms","React.js, Angular, Angular.js, JQuery, Django, Laravel",".NET, Flutter, Cordova","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, SQLite, Oracle","GNU/Linux, Microsoft Windows, MacOS, WordPress",Python,Kotlin,Django,ASP.NET,"Google Suite (Docs, Meet, etc), Confluence, Jira, Microsoft Team",,no,no,,,,
241,onsite,Empleador local (Paraguay),backend_dev,sys_admin,Yes,6_9 years,3_5 years,20_21 years,Mid-senior,Mid-senior,high_school,computer_engineering,somewhat_important,male,30_34 years,7M_9M,Oracle Forms,,,Oracle,Microsoft Windows,Oracle form,,,,GitLab,,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
242,onsite,Empleador local (Paraguay),full_stack_dev,"sys_admin, devops_dataops",Yes,<1 year,<1 year,<10 years,Junior,Junior,high_school,computer_engineering,very_important,male,20_24 years,min_wage,"JavaScript, Java, HTML/CSS",JQuery,,Oracle,"GNU/Linux, Microsoft Windows",Java,Oracle Forms,JQuery,Angular.js,Discord,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
243,onsite,local_with_foreign_clients,"desktop_apps, qa_testing, db_admin, proj_lead",,Yes,<1 year,<1 year,<10 years,Senior,Senior,high_school,computer_engineering,quite_important,male,25_29 years,2.55M_3.5M,"JavaScript, Java, SQL",JQuery,,Oracle,"GNU/Linux, Microsoft Windows",C++,JavaScript,Vue.js,Angular,,"WolframAlpha, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",yes,yes,6+_months,no,higher
244,onsite,Empleador local (Paraguay),"full_stack_dev, qa_testing, db_admin, proj_lead, data_analyst, data_eng, api_rest","sys_admin, devops_dataops",Yes,3_5 years,1_2 years,10_11 years,Senior,Mid-senior,high_school,"programming, systems_analysis, other",critical,male,20_24 years,5M_7M,"JavaScript, Python, Java, HTML/CSS, SQL, Bash/Shell/PowerShell, Oracle Forms","JQuery, Spring, Django",Node.js,Oracle,"GNU/Linux, Microsoft Windows",JavaScript,Oracle Forms,JQuery,Vue.js,Discord,,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
245,onsite,Empleador local (Paraguay),full_stack_dev,"sys_admin, designer",Yes,3_5 years,<1 year,<10 years,Junior,Junior,high_school,none,somewhat_important,male,15_19 years,2.55M_3.5M,"JavaScript, Bash/Shell/PowerShell",JQuery,,Oracle,Microsoft Windows,SQL,Oracle Forms,,,,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
246,onsite,Empleador local (Paraguay),"full_stack_dev, db_admin","sys_admin, devops_dataops",Yes,3_5 years,3_5 years,<10 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","systems_analysis, computer_engineering",very_important,male,20_24 years,7M_9M,"Java, HTML/CSS, SQL, Oracle Forms",JQuery,,Oracle,"GNU/Linux, Microsoft Windows",Oracle form,COBOL,JQuery,Spring,Discord,,no,no,,,,
247,remote,freelance,full_stack_dev,devops_dataops,Yes,6_9 years,3_5 years,<10 years,Junior,Mid-senior,high_school,"programming, computer_engineering",very_important,male,20_24 years,3.5M_5M,"JavaScript, TypeScript, PHP, Python, HTML/CSS, SQL","Angular, Vue.js, Django, Laravel",,"MySQL, MariaDB, PostgreSQL, SQLite, MongoDB, Redis","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS",TypeScript,,Vue.js,JQuery,"GitHub, Jira",ChatGPT,no,no,,,,
248,onsite,Empleador local (Paraguay),tableau_dev,devops_dataops,Yes,10_12 years,10_12 years,16_17 years,No aplica a mi lugar de trabajo,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,female,30_34 years,7M_9M,SQL,,,"SQLite, Oracle",Microsoft Windows,SQL,,,,,,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
249,remote,Empleador local (Paraguay),proj_lead,,Yes,10_12 years,6_9 years,14_15 years,Staff,Staff,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,very_important,male,30_34 years,9M_12M,"JavaScript, PHP, C#","React.js, ASP.NET Core",".NET, NET Core",MariaDB,Docker,C#,PHP,ASP.NET Core,Spring,"Jira, Microsoft Azure, Microsoft Team","ChatGPT, Bing AI",no,,,,,
250,remote,Empleador local (Paraguay),backend_dev,"sys_admin, devops_dataops, scientific_researcher",No,3_5 years,1_2 years,<10 years,Mid-senior,Mid-senior,high_school,"programming, systems_analysis, mathematics",very_important,male,20_24 years,<min_wage,"JavaScript, PHP, Python, Java, C#, C++, HTML/CSS, SQL, Bash/Shell/PowerShell","Spring, Django, Flask, Laravel","Pandas, Flutter","MySQL, PostgreSQL, Oracle","GNU/Linux, Microsoft Windows, Docker, WordPress",Python,Ruby,Django,ASP.NET Core,"GitLab, Discord, GitHub, Microsoft Team","Google Bard, ChatGPT, Bing AI",no,no,,,,
251,Hibrído,Empleador local (Paraguay),db_admin,sys_admin,Yes,1_2 years,1_2 years,18_19 years,Junior,Mid-senior,high_school,systems_analysis,somewhat_important,male,20_24 years,5M_7M,"JavaScript, Python, Java, Oracle Forms","Angular.js, JQuery, ASP.NET, ASP.NET Core, Spring",,Oracle,"GNU/Linux, Microsoft Windows",,C,Angular,Vue.js,"Discord, GitLab, Microsoft Team, GitHub",ChatGPT,no,no,,,,
252,onsite,Empleador local (Paraguay),desktop_apps,sys_admin,Yes,1_2 years,1_2 years,16_17 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,female,20_24 years,5M_7M,"JavaScript, Java, HTML/CSS, SQL",Express,,Oracle,Microsoft Windows,SQL,C#,Express,Laravel,"Microsoft Team, GitHub, Slack, Google Suite (Docs, Meet, etc), Jira",ChatGPT,no,no,,,,
253,remote,local_with_foreign_clients,qa_testing,devops_dataops,Yes,6_9 years,6_9 years,10_11 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,female,25_29 years,5M_7M,,,,,Azure,Python,JavaScript,,,"Microsoft Azure, GitLab, Jira, Notion, GitHub",ChatGPT,no,no,,,,
254,remote,foreign_employer,"full_stack_dev, embedded_sys_dev, data_eng, dev_ops",,Yes,18_25 years,13_17 years,22_23 years,Senior,Staff,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,40_44 years,50M+,"JavaScript, TypeScript, Python, HTML/CSS, SQL, Bash/Shell/PowerShell, Elixir ","React.js, Angular, Angular.js, Express, Django, Flask","Node.js, Pandas, React Native, Cordova","PostgreSQL, DynamoDB","GNU/Linux, MacOS, Docker, AWS, Azure, Raspberry Pi",Otro,Python,,Spring,"Confluence, Jira, Slack, Google Suite (Docs, Meet, etc), GitHub","Bing AI, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
